,y,in_out,avg_in_m,avg_out_m,small_eti,sum_b100_out,sum_b500_out,sum_b1k_out,sum_a1k_out,avg_b100_out,avg_b500_out,avg_b1k_out,avg_a1k_out,sum_b500_in,sum_b1k_in,sum_b5k_in,sum_b10k_in,sum_a10k_in,avg_b500_in,avg_b1k_in,avg_b5k_in,avg_b10k_in,avg_a10k_in,t_sum_b100_out,t_sum_b500_out,t_sum_b1k_out,t_sum_a1k_out,t_sum_b500_in,t_sum_b1k_in,t_sum_b5k_in,t_sum_b10k_in,t_sum_a10k_in,eti_b100_in1k,eti_b500_in1k,eti_b1k_in1k,eti_a1k_in1k,eti_b100_in5k,eti_b500_in5k,eti_b1k_in5k,eti_a1k_in5k,eti_b100_in10k,eti_b500_in10k,eti_b1k_in10k,eti_a1k_in10k,eti_b100_ina10k,eti_b500_ina10k,eti_b1k_ina10k,eti_a1k_ina10k,eti_b100_in,eti_b500_in,eti_b1k_in,eti_a1k_in
HPF04D,1,0.333333,696.3333,5617.947,0.272781,50.84,519,,16284,25.42,259.5,,8142,89,,2000,,,89,,2000,,,2,2,,2,1,,1,,,,,,,0.02542,0.2595,,8.142,,,,,,,,,0.024337,0.248444,,7.795117
HPF05E,2,0.732143,36569.33,36569.33,0.085554,468,5362,3556,100322,52,255.3333,592.6667,5016.1,4939,2210,11059,33500,58000,189.9615,552.5,2211.8,8375,29000,9,21,6,20,26,4,5,4,2,0.211765,2.426244,1.60905,45.39457,0.042318,0.484854,0.321548,9.071525,0.01397,0.16006,0.106149,2.994687,0.008069,0.092448,0.06131,1.72969,0.004266,0.048875,0.032413,0.914446
HPF128H,2,0.19598,63853.12,39040.4,0.283636,17936.05,27868.15,8529,62788,45.87225,165.8818,710.75,2414.923,4368.26,6700,120195.1,34996,25300,136.5081,609.0909,1821.138,5832.667,12650,391,168,12,26,32,11,66,6,2,2.677022,4.159425,1.272985,9.371343,0.149224,0.231858,0.07096,0.522384,0.512517,0.796324,0.243714,1.794148,0.708935,1.101508,0.337115,2.481739,0.093632,0.14548,0.044524,0.327773
HPF07G,4,0.571429,31898.17,31915.71,0.542556,3898.66,37016.01,11005,43827.47,46.97181,209.13,611.3889,1905.542,20076.5,14314,35734,25570,,161.9073,572.56,1880.737,6392.5,,83,177,18,23,124,25,19,4,,0.272367,2.586,0.768828,3.06186,0.109102,1.035876,0.30797,1.226492,0.15247,1.447634,0.430387,1.714019,,,,,0.040741,0.386814,0.115001,0.457994
HPF08H,4,1,28035.83,28015.83,0.281324,957.5,7834,14870,60386,41.63043,211.7297,550.7407,3019.3,9551.5,14170,45386,15000,,156.582,545,2521.444,7500,,23,37,27,20,61,26,18,2,,0.067572,0.552858,1.0494,4.261538,0.021097,0.172608,0.327634,1.330498,0.063833,0.522267,0.991333,4.025733,,,,,0.011384,0.093143,0.176798,0.717962
HPF09I,3,0.248408,166806.3,166898.4,0.390767,10625.5,100232.8,84689,305147.8,48.51826,227.8017,588.1181,2195.308,11741,23300.99,219493,102614,143270,165.3662,597.4613,2239.724,5700.778,17908.75,219,440,144,139,71,39,98,18,8,0.456011,4.301652,3.634567,13.09592,0.048409,0.456656,0.385839,1.390239,0.103548,0.976794,0.825316,2.973744,0.074164,0.699607,0.591115,2.129879,0.021233,0.200298,0.169236,0.609785
HPF10J,4,0.390041,72588.29,73478.6,0.573374,3694.87,54692.97,66472.8,95575.17,53.54884,233.7306,531.7824,1769.911,19771.07,15315.45,120648.4,18983,43047,201.7456,589.0558,2044.887,6327.667,21523.5,69,234,125,54,98,26,59,3,2,0.241251,3.571098,4.340245,6.240442,0.030625,0.453325,0.550963,0.79218,0.194641,2.881155,3.501702,5.034777,0.085833,1.270541,1.544191,2.220252,0.016967,0.251156,0.30525,0.438892
HPF111A,2,0.756098,57480.85,57374.01,0.13576,1606,9576.97,12227.75,148711.3,43.40541,212.8216,643.5658,2360.497,8549,10980,129863.5,23050,,181.8936,610,2361.155,5762.5,,37,45,19,63,47,18,55,4,,0.146266,0.872219,1.113638,13.54383,0.012367,0.073746,0.094158,1.145135,0.069675,0.415487,0.530488,6.451683,,,,,0.009313,0.055537,0.070909,0.862382
HPF112B,1,0.294906,12963.37,13164.48,0.706284,9601.7,15946.75,1919,12026,34.4147,185.4273,639.6667,2405.2,9437.1,5453,4000,20000,,101.4742,545.3,1000,6666.667,,279,86,3,5,93,10,4,3,,1.760811,2.924399,0.351916,2.205392,2.400425,3.986688,0.47975,3.0065,0.480085,0.797338,0.09595,0.6013,,,,,0.246893,0.410047,0.049344,0.30923
HPF113C,3,0.420904,26426.85,27093.42,0.393732,8805,16458,5952.26,50065,39.66216,171.4375,595.226,1925.577,13180.54,6413,35800,23887,,120.9224,534.4167,1491.667,5971.75,,222,96,10,26,109,12,24,4,,1.372992,2.56635,0.928155,7.806799,0.24595,0.459721,0.166264,1.398464,0.368611,0.688994,0.249184,2.09591,,,,,0.111061,0.207592,0.075078,0.631492
HPF114D,1,0.146392,62090.45,62058.75,0.321989,11397.3,31783.51,16796.47,126199,44.5207,191.4669,699.8529,3235.871,5606.84,1200,62696,27268.5,89500,151.5362,600,2849.818,5453.7,17900,256,166,24,39,37,2,22,5,5,9.49775,26.48626,13.99706,105.1658,0.181787,0.506946,0.267903,2.012871,0.417966,1.165576,0.615966,4.628013,0.127344,0.355123,0.18767,1.410044,0.061187,0.17063,0.090172,0.677501
HPF116A,1,0.312169,20056.27,20626.49,0.41616,3626,14977,6436.84,36839.62,40.74157,194.5065,715.2044,2631.401,3555.1,8742,42871.7,5000,,136.7346,624.4286,2381.761,5000,,89,77,9,14,26,14,18,1,,0.414779,1.713224,0.736312,4.214095,0.084578,0.349345,0.150142,0.859299,0.7252,2.9954,1.287368,7.367924,,,,,0.060264,0.248916,0.10698,0.612271
HPF11A,1,0.443231,47635.1,48524.91,0.463003,9893.57,38125.37,18146.63,79409.15,49.96753,185.0746,725.8652,2738.247,28232.28,23150,49705.03,25050,16768,207.5903,661.4286,1775.18,8350,16768,198,206,25,29,136,35,28,3,1,0.427368,1.646884,0.783872,3.430201,0.199046,0.767032,0.365086,1.597608,0.394953,1.521971,0.724416,3.170026,0.590027,2.273698,1.082218,4.735756,0.069232,0.266788,0.126984,0.555677
HPF122B,2,0.429825,30104.63,30104.31,0.418154,3277.1,20034.24,14453.81,52547.77,46.15634,192.6369,555.9158,1946.214,9685.08,7118.81,56429,17081,,179.3533,593.2342,1945.828,5693.667,,71,104,26,27,54,12,29,3,,0.460344,2.814268,2.030369,7.381538,0.058075,0.355034,0.256142,0.931219,0.191856,1.172896,0.846192,3.076387,,,,,0.036286,0.221829,0.16004,0.581835
